Steering System Monitor Log
Started: 2025-08-20T15:17:36.768104
Interface: can3
================================================================================

[2025-08-20T15:17:38.480634] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:38.490644] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.491356] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.500653] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.510667] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.511390] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.520677] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.530726] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.531461] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.540722] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.550715] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.551197] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.560715] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:38.570755] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.571237] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.580731] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.590727] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:38.591217] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:38.600511] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.610743] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.611220] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.620740] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.631002] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.631473] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.640728] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.650727] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.651231] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.660736] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.670739] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.671224] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.680531] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.690760] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.691242] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.700519] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.710533] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.711248] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.720517] Angle correlation error: SAS=-186.9, MDPS=0.0
[2025-08-20T15:17:38.730538] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.731275] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.740561] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.750559] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.751292] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.760564] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.770602] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.771340] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.780591] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.790608] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.791325] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.800633] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.810650] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:38.811370] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:38.820656] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.830530] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.831262] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.840506] Angle correlation error: SAS=-187.0, MDPS=0.0
[2025-08-20T15:17:38.850543] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.851261] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.860510] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.870549] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.871268] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.880516] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.890561] Angle correlation error: SAS=-186.8, MDPS=0.0
[2025-08-20T15:17:38.891279] Angle correlation error: SAS=-186.8, MDPS=0.0
