timestamp,can_id,message_count,longitudinal_accel_g,longitudinal_accel_status,imu_reset_status,temperature_c,temperature_status,yrs_type,msg_count,crc,raw_data_hex
1755699661.485968,320,2649,-0.025365534999999717,0,0,42,0,2,12,125,397F006E20000C7D
1755699661.496061,320,2650,-0.023198630000000442,0,0,42,0,2,13,143,4A7F006E20000D8F
1755699661.506076,320,2651,-0.021541584999999586,0,0,42,0,2,14,247,577F006E20000EF7
1755699661.516004,320,2652,-0.021541584999999586,0,0,42,0,2,15,234,577F006E20000FEA
1755699661.526032,320,2653,-0.022306375000000322,0,0,42,0,2,0,130,517F006E20000082
1755699661.536039,320,2654,-0.02115918999999966,0,0,42,0,2,1,170,5A7F006E200001AA
1755699661.546051,320,2655,-0.020521865000000084,0,0,42,0,2,2,185,5F7F006E200002B9
1755699661.55607,320,2656,-0.020776794999999737,0,0,42,0,2,3,30,5D7F006E2000031E
1755699661.566216,320,2657,-0.022688770000000247,0,0,42,0,2,4,19,4E7F006E20000413
1755699661.576097,320,2658,-0.02472821000000014,0,0,42,0,2,5,6,3E7F006E20000506
1755699661.586122,320,2659,-0.024345815000000215,0,0,42,0,2,6,117,417F006E20000675
1755699661.596131,320,2660,-0.024345815000000215,0,0,42,0,2,7,104,417F006E20000768
1755699661.606149,320,2661,-0.02472821000000014,0,0,42,0,2,8,135,3E7F006E20000887
1755699661.616067,320,2662,-0.027914834999999805,0,0,42,0,2,9,22,257F006E20000916
1755699661.62593,320,2663,-0.02931695000000012,0,0,41,0,2,10,1,1A7F006D20000A01
1755699661.636118,320,2664,-0.025875394999999912,0,0,42,0,2,11,149,357F006E20000B95
1755699661.646092,320,2665,-0.021286654999999932,0,0,42,0,2,12,204,597F006E20000CCC
1755699661.655923,320,2666,-0.021286654999999932,0,0,42,0,2,13,209,597F006E20000DD1
1755699661.666082,320,2667,-0.028934555000000195,0,0,42,0,2,14,65,1D7F006E20000E41
1755699661.675918,320,2668,-0.03658245499999957,0,0,42,0,2,15,8,E17E006E20000F08
1755699661.685911,320,2669,-0.037984569999999884,0,0,42,0,2,0,235,D67E006E200000EB
1755699661.695908,320,2670,-0.03556273500000007,0,0,42,0,2,1,124,E97E006E2000017C
1755699661.706066,320,2671,-0.03377822499999983,0,0,42,0,2,2,227,F77E006E200002E3
